label,sample,average,median,90%Line,95%Line,99%Line,Min,Maximum,Error%,Throughput,Received,Sent
,,,,,,1 thread - 20 second,,,,,,
GetJackpot,24137,0,1,1,1,1,0,45,1.0,1207.0310546581989,2451.781829774466,0.0
TOTAL,24137,0,1,1,1,1,0,45,1.0,1207.0310546581989,2451.781829774466,0.0
GetJackpot,24803,0,1,1,1,1,0,19,1.0,1240.336050407561,2519.4326023903586,0.0
TOTAL,24803,0,1,1,1,1,0,19,1.0,1240.336050407561,2519.4326023903586,0.0
,,,,,,10 thread - 20 second,,,,,,
GetJackpot,96443,1,1,2,3,12,0,38,1.0,4822.15,9794.9921875,0.0
TOTAL,96443,1,1,2,3,12,0,38,1.0,4822.15,9794.9921875,0.0
GetJackpot,95826,1,1,2,3,11,0,64,1.0,4786.991707463283,9723.576905784794,0.0
TOTAL,95826,1,1,2,3,11,0,64,1.0,4786.991707463283,9723.576905784794,0.0
,,,,,,1 thread - 20 second iis,,,,,,
GetJackpot,52153,0,0,1,1,1,0,37,0.0,2619.832219822173,945.3204961665494,524.4781299448687
TOTAL,52153,0,0,1,1,1,0,37,0.0,2619.832219822173,945.3204961665494,524.4781299448687
GetJackpot,61524,0,0,1,1,1,0,18,0.0,3076.5076507650765,1110.1218520289528,615.9024105535553
TOTAL,61524,0,0,1,1,1,0,18,0.0,3076.5076507650765,1110.1218520289528,615.9024105535553
GetJackpot,60188,0,0,1,1,1,0,4,0.0,3009.7009700970098,1085.9950741167866,602.528026240124
TOTAL,60188,0,0,1,1,1,0,4,0.0,3009.7009700970098,1085.9950741167866,602.528026240124
,,,,,,10 thread - 20 second iis,,,,,,
GetJackpot,280377,0,1,1,1,1,0,20,0.0,14018.149092545373,5058.3547482782105,2806.367738253712
TOTAL,280377,0,1,1,1,1,0,20,0.0,14018.149092545373,5058.3547482782105,2806.367738253712
GetJackpot,281513,0,1,1,1,1,0,62,0.0,14074.946252687365,5078.766276529923,2817.738263477451
TOTAL,281513,0,1,1,1,1,0,62,0.0,14074.946252687365,5078.766276529923,2817.738263477451
GetJackpot,281646,0,1,1,1,1,0,46,0.0,14081.59592020399,5081.266737444377,2819.0694957439628
TOTAL,281646,0,1,1,1,1,0,46,0.0,14081.59592020399,5081.266737444377,2819.0694957439628
