label,sample,average,median,90%Line,95%Line,99%Line,Min,Maximum,Error%,Throughput,Received,Sent
,,,,,,1 thread - 20 second,,,,,,
GetJackpot,2544,6,6,8,9,16,5,71,0.0,127.2,46.894287109375,24.22265625
TOTAL,2544,6,6,8,9,16,5,71,0.0,127.2,46.894287109375,24.22265625
GetJackpot,2566,6,6,8,9,20,5,92,0.0,128.2679330167458,47.285639527618095,24.42602240064984
TOTAL,2566,6,6,8,9,20,5,92,0.0,128.2679330167458,47.285639527618095,24.42602240064984
,,,,,,10 threads - 20 second,,,,,,
GetJackpot,4161,43,41,59,69,84,17,114,0.0,207.7280215665718,76.5781300702661,39.55758223191553
TOTAL,4161,43,41,59,69,84,17,114,0.0,207.7280215665718,76.5781300702661,39.55758223191553
GetJackpot,4151,43,41,53,69,80,9,114,0.0,207.21845047923324,76.38866680498703,39.46054476899461
TOTAL,4151,43,41,53,69,80,9,114,0.0,207.21845047923324,76.38866680498703,39.46054476899461
,,,,,,10 threads - 60 second,,,,,,
GetJackpot,12253,43,41,56,71,84,15,153,0.0,204.07041620172208,75.26396447129557,38.86106558528888
TOTAL,12253,43,41,56,71,84,15,153,0.0,204.07041620172208,75.26396447129557,38.86106558528888
,,,,,,30 threads - 20 second,,,,,,
GetJackpot,4180,135,133,183,198,252,34,351,0.0,208.56201975850712,76.88385640155673,39.71640024698134
TOTAL,4180,135,133,183,198,252,34,351,0.0,208.56201975850712,76.88385640155673,39.71640024698134
,,,,,,1 threads - 20 second on iis,,,,,,
GetJackpot,5895,2,2,4,5,12,1,309,1.0,294.971228421316,67.69359245996998,56.171278849762324
TOTAL,5895,2,2,4,5,12,1,309,1.0,294.971228421316,67.69359245996998,56.171278849762324
GetJackpot,7496,2,2,3,3,15,1,35,1.0,375.38184185487506,86.14720003505433,71.48384683759828
TOTAL,7496,2,2,3,3,15,1,35,1.0,375.38184185487506,86.14720003505433,71.48384683759828
GetJackpot,7347,2,2,3,3,10,1,316,1.0,367.3867386738674,84.31238631675667,69.96134183730872
TOTAL,7347,2,2,3,3,10,1,316,1.0,367.3867386738674,84.31238631675667,69.96134183730872
,,,,,,10 threads - 20 second on iis,,,,,,
GetJackpot,42001,4,4,5,6,10,2,78,1.0,2099.5251187203203,481.8246122063234,399.81191225631096
TOTAL,42001,4,4,5,6,10,2,78,1.0,2099.5251187203203,481.8246122063234,399.81191225631096
GetJackpot,44134,3,4,5,6,9,2,74,1.0,2203.72497128876,505.73766430943226,419.654657618465
TOTAL,44134,3,4,5,6,9,2,74,1.0,2203.72497128876,505.73766430943226,419.654657618465
GetJackpot,42283,4,4,5,6,11,1,118,1.0,2113.9386061393857,485.13239496362866,402.5566681613089
TOTAL,42283,4,4,5,6,11,1,118,1.0,2113.9386061393857,485.13239496362866,402.5566681613089
,,,,,,100 threads - 20 second on iis,,,,,,
GetJackpot,47311,38,36,46,56,97,3,131,1.0,2357.88686768004,541.1166151414153,449.0116593726638
TOTAL,47311,38,36,46,56,97,3,131,1.0,2357.88686768004,541.1166151414153,449.0116593726638
GetJackpot,46567,37,36,44,50,75,4,136,1.0,2319.651307596513,532.3418528175591,441.73047361457037
TOTAL,46567,37,36,44,50,75,4,136,1.0,2319.651307596513,532.3418528175591,441.73047361457037
GetJackpot,46280,38,36,48,58,96,4,165,1.0,2305.5846161510485,529.113657026852,439.0517579584516
TOTAL,46280,38,36,48,58,96,4,165,1.0,2305.5846161510485,529.113657026852,439.0517579584516
,,,,,,1000 threads - 20 second on iis,,,,,,
GetJackpot,43105,456,455,528,546,630,10,668,1.0,2085.0868282300585,478.5111373379529,397.06243311021626
TOTAL,43105,456,455,528,546,630,10,668,1.0,2085.0868282300585,478.5111373379529,397.06243311021626
,,,,,,2000 threads - 20 second on iis,,,,,,
GetJackpot,119258,168,2,1009,1299,1469,0,1810,1.0,5719.2595434490695,2638.882530003117,1089.116807590399
TOTAL,119258,168,2,1009,1299,1469,0,1810,1.0,5719.2595434490695,2638.882530003117,1089.116807590399
,,,,,,1 threads - 20 second on iis (turn off get brand),,,,,,
GetJackpot,21895,0,1,1,1,2,0,25,0.0,1094.859485948595,392.9341664635213,208.49374976560154
TOTAL,21895,0,1,1,1,2,0,25,0.0,1094.859485948595,392.9341664635213,208.49374976560154
,,,,,,10 threads - 20 second on iis (turn off get brand),,,,,,
GetJackpot,59138,3,3,4,5,11,1,175,0.0,2967.136621343636,1064.7899315137222,565.0308995722743
TOTAL,59138,3,3,4,5,11,1,175,0.0,2967.136621343636,1064.7899315137222,565.0308995722743
GetJackpot,69586,2,3,4,4,5,1,29,0.0,3479.126043697815,1248.613985316359,662.5288852744862
TOTAL,69586,2,3,4,4,5,1,29,0.0,3479.126043697815,1248.613985316359,662.5288852744862
GetJackpot,87677,2,2,3,3,4,1,67,0.0,4383.411658834117,1573.7464827735978,834.7317123756375
TOTAL,87677,2,2,3,3,4,1,67,0.0,4383.411658834117,1573.7464827735978,834.7317123756375
,,,,,,100 threads - 20 second on iis (turn off get brand),,,,,,
GetJackpot,83456,23,23,28,31,42,5,137,0.0,4160.526446981405,1493.640294334837,792.2877511341542
TOTAL,83456,23,23,28,31,42,5,137,0.0,4160.526446981405,1493.640294334837,792.2877511341542
