label,sample,average,median,90%Line,95%Line,99%Line,Min,Maximum,Error%,Throughput,Received,Sent
,,,,,,1 thread 20 second,,,,,,
GetJackpot,2559,7,7,9,10,23,4,740,0.0,128.4509587390824,230.86570829359502,25.71527982569521
TOTAL,2559,7,7,9,10,23,4,740,0.0,128.4509587390824,230.86570829359502,25.71527982569521
GetJackpot,5101,7,7,9,11,23,4,740,0.0,58.71384339138342,105.52722302714119,11.754236225814063
TOTAL,5101,7,7,9,11,23,4,740,0.0,58.71384339138342,105.52722302714119,11.754236225814063
,,,,,,10 thread 20 second,,,,,,
GetJackpot,10664,18,13,44,55,72,4,222,0.0,532.8270210852404,957.6529339618518,106.66947199460378
TOTAL,10664,18,13,44,55,72,4,222,0.0,532.8270210852404,957.6529339618518,106.66947199460378
GetJackpot,11275,17,14,32,49,64,4,245,0.0,563.4401079406327,1012.8135580118435,112.79806848420868
TOTAL,11275,17,14,32,49,64,4,245,0.0,563.4401079406327,1012.8135580118435,112.79806848420868
