label,sample,average,median,90%Line,95%Line,99%Line,Min,Maximum,Error%,Throughput,Received,Sent
GetJackpot,33102,1816,1813,2040,2137,3044,51,5901,0.0,541.4574302772552,976.775367782367,108.39723945980208
TOTAL,33102,1816,1813,2040,2137,3044,51,5901,0.0,541.4574302772552,976.775367782367,108.39723945980208
GetJackpot,33417,1792,1828,2039,2130,2304,17,2724,0.0,542.9862047673985,979.5418066433226,108.70329294659831
TOTAL,33417,1792,1828,2039,2130,2304,17,2724,0.0,542.9862047673985,979.5418066433226,108.70329294659831
GetJackpot,33175,1812,1797,2253,2712,3300,7,4035,0.0,536.2049458542105,967.30120868353,107.34571669932924
TOTAL,33175,1812,1797,2253,2712,3300,7,4035,0.0,536.2049458542105,967.30120868353,107.34571669932924
,,,,,,via service ip,,,,,,
GetJackpot,24712,2420,2459,2798,2912,3187,22,3810,0.0,402.0957401802857,725.4354917687689,80.4976823603111
TOTAL,24712,2420,2459,2798,2912,3187,22,3810,0.0,402.0957401802857,725.4354917687689,80.4976823603111
GetJackpot,28158,2130,2141,2434,2537,3041,27,4302,0.0,458.00260247234877,826.3201066403709,91.68997412776513
TOTAL,28158,2130,2141,2434,2537,3041,27,4302,0.0,458.00260247234877,826.3201066403709,91.68997412776513
GetJackpot,28540,2106,2107,2510,2626,2786,10,3026,0.0,462.0964347009488,833.7037330549124,92.50954015009229
TOTAL,28540,2106,2107,2510,2626,2786,10,3026,0.0,462.0964347009488,833.7037330549124,92.50954015009229
,,,,,,comment out auditlog and swagger,,,,,,
GetJackpot,33322,1800,1824,2027,2084,2297,17,2982,0.0,542.1561289902704,978.1364050399027,108.5371156669975
TOTAL,33322,1800,1824,2027,2084,2297,17,2982,0.0,542.1561289902704,978.1364050399027,108.5371156669975
GetJackpot,34414,1750,1811,1999,2048,2150,11,2875,0.0,555.0824220136134,1001.5368124274171,111.12489893827221
TOTAL,34414,1750,1811,1999,2048,2150,11,2875,0.0,555.0824220136134,1001.5368124274171,111.12489893827221
GetJackpot,32858,1820,1858,2068,2123,2208,27,2899,0.0,533.6949989442396,962.889197439375,106.84323709332922
TOTAL,32858,1820,1858,2068,2123,2208,27,2899,0.0,533.6949989442396,962.889197439375,106.84323709332922
GetJackpot,32898,1824,1876,2054,2095,2275,18,3213,0.0,535.0921422878613,965.3565958131373,107.12293864161285
TOTAL,32898,1824,1876,2054,2095,2275,18,3213,0.0,535.0921422878613,965.3565958131373,107.12293864161285
