label,sample,average,median,90%Line,95%Line,99%Line,Min,Maximum,Error%,Throughput,Received,Sent
,,,,,,,,local 2 services 1 thread 10 seconds,,,,
SampleApp,4135,2,1,3,4,33,0,49,0.0,413.7068534267134,213.2257535017509,71.10586543271637
TOTAL,4135,2,1,3,4,33,0,49,0.0,413.7068534267134,213.2257535017509,71.10586543271637
SampleApp,4241,2,1,3,4,32,0,63,0.0,423.888055972014,218.45903220264867,72.8557596201899
TOTAL,4241,2,1,3,4,32,0,63,0.0,423.888055972014,218.45903220264867,72.8557596201899
,,,,,,,,local 2 services 10 thread 10 seconds,,,,
SampleApp,3865,25,17,60,77,113,0,171,0.0,385.19035280047837,198.5768893574347,66.20459188758221
TOTAL,3865,25,17,60,77,113,0,171,0.0,385.19035280047837,198.5768893574347,66.20459188758221
SampleApp,4021,24,17,56,72,108,0,168,0.0,400.6576325229175,206.52739979822638,68.86303058987644
TOTAL,4021,24,17,56,72,108,0,168,0.0,400.6576325229175,206.52739979822638,68.86303058987644
,,,,,,,,local 2 services 30 thread 10 seconds,,,,
SampleApp,3988,75,72,150,170,194,1,226,0.0,396.1851778263461,204.1980933650407,68.09432743890324
TOTAL,3988,75,72,150,170,194,1,226,0.0,396.1851778263461,204.1980933650407,68.09432743890324
SampleApp,3503,85,74,168,206,352,2,735,0.0,345.59984214680344,178.17390520175613,59.39997286898185
TOTAL,3503,85,74,168,206,352,2,735,0.0,345.59984214680344,178.17390520175613,59.39997286898185
,,,,,,,,local 2 services 100 thread 10 seconds,,,,
SampleApp,3863,262,289,366,424,577,6,641,0.0,376.474027872527,194.08925101720106,64.7064735405906
TOTAL,3863,262,289,366,424,577,6,641,0.0,376.474027872527,194.08925101720106,64.7064735405906
SampleApp,3879,260,299,349,370,516,10,635,0.0,379.36430317848414,195.55308297677263,65.20323960880197
TOTAL,3879,260,299,349,370,516,10,635,0.0,379.36430317848414,195.55308297677263,65.20323960880197
,,,,,,,,iis 2 services 1 thread 10 seconds,,,,
SampleApp,10694,0,1,1,1,2,0,2547,0.0,1069.613922784557,562.7744689562913,183.83989297859574
TOTAL,10694,0,1,1,1,2,0,2547,0.0,1069.613922784557,562.7744689562913,183.83989297859574
SampleApp,11887,0,1,1,1,2,0,2282,0.0,1189.5326728710097,625.8429728935255,204.4509281497048
TOTAL,11887,0,1,1,1,2,0,2282,0.0,1189.5326728710097,625.8429728935255,204.4509281497048
,,,,,,,,iis 2 services 10 thread 10 seconds,,,,
SampleApp,65957,1,1,2,2,3,0,31,0.0,6595.040495950405,3469.924296632837,1133.522585241476
TOTAL,65957,1,1,2,2,3,0,31,0.0,6595.040495950405,3469.924296632837,1133.522585241476
SampleApp,70245,1,1,2,2,3,0,32,0.0,7023.797620237977,3695.7423398285173,1207.2152159784023
TOTAL,70245,1,1,2,2,3,0,32,0.0,7023.797620237977,3695.7423398285173,1207.2152159784023
,,,,,,,,iis 2 services 30 thread 10 seconds,,,,
SampleApp,60999,4,4,6,8,13,2,53,0.0,6093.806193806194,3206.366972870879,1047.3729395604396
TOTAL,60999,4,4,6,8,13,2,53,0.0,6093.806193806194,3206.366972870879,1047.3729395604396
SampleApp,71616,4,4,5,5,7,2,33,0.0,7154.445554445554,3764.6715589098403,1229.6703296703297
TOTAL,71616,4,4,5,5,7,2,33,0.0,7154.445554445554,3764.6715589098403,1229.6703296703297
,,,,,,,,iis 2 services 100 thread 10 seconds,,,,
SampleApp,64265,15,14,19,22,36,4,137,0.0,6398.98436722095,3366.836567603057,1099.825438116101
