label,sample,average,median,90%Line,95%Line,99%Line,Min,Maximum,Error%,Throughput,Received,Sent
,,,,,,,,tst 1 thread 10 seconds,,,,
GetJackpot,82,123,143,151,154,155,73,205,0.0,8.109177215189874,2.7531491050237342,1.6234192667128164
TOTAL,82,123,143,151,154,155,73,205,0.0,8.109177215189874,2.7531491050237342,1.6234192667128164
,,,,,,,,stg 1 thread 10 seconds,,,,
GetJackpot,1737,4,3,11,15,23,2,39,1.0,173.73474694938986,489.68787898204647,0.0
TOTAL,1737,4,3,11,15,23,2,39,1.0,173.73474694938986,489.68787898204647,0.0
,,,,,,,,tst 10 thread 10 seconds,,,,
GetJackpot,855,112,124,148,154,162,66,286,0.0,84.40276406712735,28.643648198420532,16.897037728282328
TOTAL,855,112,124,148,154,162,66,286,0.0,84.40276406712735,28.643648198420532,16.897037728282328
,,,,,,,,stg 10 thread 10 seconds,,,,
GetJackpot,11688,6,6,10,11,17,2,63,1.0,1168.0991405156906,3293.8286832587946,0.0
TOTAL,11688,6,6,10,11,17,2,63,1.0,1168.0991405156906,3293.8286832587946,0.0
,,,,,,,,tst 50 thread 10 seconds,,,,
GetJackpot,2525,189,188,275,310,403,66,453,0.0,247.91359842906235,84.23194342169857,49.63114031050564
TOTAL,2525,189,188,275,310,403,66,453,0.0,247.91359842906235,84.23194342169857,49.63114031050564
,,,,,,,,stg 50 thread 10 seconds,,,,
GetJackpot,13856,28,26,53,64,83,3,126,1.0,1381.593379200319,3907.5076808505337,0.0
TOTAL,13856,28,26,53,64,83,3,126,1.0,1381.593379200319,3907.5076808505337,0.0
,,,,,,,,tst 100 thread 10 seconds,,,,
GetJackpot,2653,365,356,506,599,694,81,1474,0.0,252.7870414483087,85.90707256431635,50.60678075869462
TOTAL,2653,365,356,506,599,694,81,1474,0.0,252.7870414483087,85.90707256431635,50.60678075869462
,,,,,,,,stg 100 thread 10 seconds,,,,
GetJackpot,14304,55,51,103,121,153,3,206,1.0,1409.538825384312,3990.56348849527,0.0
TOTAL,14304,55,51,103,121,153,3,206,1.0,1409.538825384312,3990.56348849527,0.0
,,,,,,,,tst 500 thread 10 seconds,,,,
GetJackpot,3122,1720,1577,2963,3190,3424,95,7599,0.0,245.536767597326,83.63791228372001,49.15530991938655
TOTAL,3122,1720,1577,2963,3190,3424,95,7599,0.0,245.536767597326,83.63791228372001,49.15530991938655
,,,,,,,,stg 500 thread 10 seconds,,,,
GetJackpot,14484,54,51,94,117,161,3,226,1.0,1441.7678678080827,4086.9366150084616,0.0
TOTAL,14484,54,51,94,117,161,3,226,1.0,1441.7678678080827,4086.9366150084616,0.0
